========================================================
       MARATHON 28,000,000 RUNS PERFORMANCE LOG         
========================================================
Run_Index	Scalar_ns	AVX2_ns	Speedup
915	40667	37378	1.09x
916	61437	37305	1.65x
917	64879	60384	1.07x
918	40761	49050	0.83x
919	40736	36415	1.12x
920	40682	36485	1.12x
921	40591	36547	1.11x
922	40651	35864	1.13x
923	40584	35968	1.13x
924	40580	35893	1.13x
925	40659	36486	1.11x
926	40628	35797	1.13x
927	40565	35855	1.13x
928	40613	35851	1.13x
929	40605	35864	1.13x
930	40589	36449	1.11x
931	40663	36483	1.11x
932	40562	36426	1.11x
933	40635	36413	1.12x
934	40643	36533	1.11x
935	40573	36501	1.11x
936	40613	36527	1.11x
937	40612	36538	1.11x
938	40651	35945	1.13x
939	40629	35980	1.13x
940	40608	36435	1.11x
941	40597	35878	1.13x
942	40605	36520	1.11x
943	40529	36460	1.11x
944	40621	36441	1.11x
945	40706	36376	1.12x
946	40627	36559	1.11x
947	40599	45340	0.90x
948	40741	35973	1.13x
949	40626	35968	1.13x
950	40572	35878	1.13x
951	40705	35848	1.14x
952	40718	36522	1.11x
953	40643	36448	1.12x
954	40604	36497	1.11x
955	40612	36489	1.11x
956	40664	36483	1.11x
957	40611	54395	0.75x
958	49397	43703	1.13x
959	71566	53505	1.34x
960	40596	36000	1.13x
961	40621	35892	1.13x
962	40662	36463	1.12x
963	40569	35950	1.13x
964	40663	35878	1.13x
965	40604	35909	1.13x
966	40619	36531	1.11x
967	40564	35996	1.13x
968	40629	35851	1.13x
969	40644	36521	1.11x
970	40617	36423	1.12x
971	40545	36526	1.11x
972	40560	35959	1.13x
973	40545	35942	1.13x
974	40586	35944	1.13x
975	40573	35961	1.13x
976	40584	35882	1.13x
977	40623	35863	1.13x
978	40599	35940	1.13x
979	40622	36488	1.11x
980	40655	36534	1.11x
981	40542	36564	1.11x
982	40568	35892	1.13x
983	40603	35856	1.13x
984	40585	35844	1.13x
985	40608	35928	1.13x
986	40596	36511	1.11x
987	40624	36457	1.11x
988	40510	35825	1.13x
989	40583	36488	1.11x
990	40598	36470	1.11x
991	40677	36467	1.12x
992	40590	35936	1.13x
993	40624	36407	1.12x
994	40612	35931	1.13x
995	40594	36541	1.11x
996	40605	36559	1.11x
997	40560	36447	1.11x
998	40572	35887	1.13x
999	40552	35868	1.13x
1000	40649	36372	1.12x
1001	40662	35908	1.13x
1002	40619	36528	1.11x
1003	40559	35868	1.13x
1004	40634	35957	1.13x
1005	67257	44419	1.51x
1006	49392	52610	0.94x
1007	49542	35334	1.40x
1008	39859	35966	1.11x
1009	39883	36007	1.11x
1010	39843	35374	1.13x
1011	39850	35389	1.13x
1012	39807	35326	1.13x
1013	39833	35378	1.13x
1014	39796	35986	1.11x
1015	39939	35380	1.13x
1016	39867	35333	1.13x
1017	39820	35304	1.13x
1018	39779	35325	1.13x
1019	39875	35962	1.11x
1020	39844	36000	1.11x
1021	39892	35953	1.11x
1022	39820	35981	1.11x
1023	39859	35325	1.13x
1024	39889	36055	1.11x
1025	39868	35398	1.13x
1026	39853	35391	1.13x
1027	39898	35324	1.13x
1028	39857	35379	1.13x
1029	39855	35301	1.13x
1030	39839	36010	1.11x
1031	39816	35314	1.13x
1032	39841	35312	1.13x
1033	39842	35351	1.13x
1034	39864	36007	1.11x
1035	39845	36012	1.11x
1036	57161	80165	0.71x
1037	69373	56872	1.22x
1038	40789	35911	1.14x
1039	40606	35899	1.13x
1040	66430	43675	1.52x
1041	49433	44422	1.11x
1042	62776	41851	1.50x
